,id,iso_code,country,size,un_region,x,y,type,country_source,country_target,path
245,4,,,,Americas,212.0369421702501,688.7453727266561,edge,Mexico,Japan,25
246,4,,,,Americas,209.1213526711503,687.4094319491688,edge,Mexico,Japan,26
247,4,,,,Americas,206.2092541997547,686.0367986891481,edge,Mexico,Japan,27
248,4,,,,Americas,203.3045064556435,684.6323656809662,edge,Mexico,Japan,28
249,4,,,,Americas,200.41155465036869,683.201283652289,edge,Mexico,Japan,29
250,4,,,,Americas,197.53542950745396,681.7489613240771,edge,Mexico,Japan,30
251,4,,,,Americas,194.68174726239465,680.281065410584,edge,Mexico,Japan,31
252,4,,,,Americas,191.85670966265795,678.8035206193588,edge,Mexico,Japan,32
253,4,,,,Americas,189.06710396768247,677.3225096512439,edge,Mexico,Japan,33
254,4,,,,Americas,186.3203029488789,675.8444732003758,edge,Mexico,Japan,34
255,4,,,,Americas,183.62426488962933,674.3761099541857,edge,Mexico,Japan,35
256,4,,,,Americas,180.98753358528768,672.9243765933984,edge,Mexico,Japan,36
257,4,,,,Americas,178.4192383431796,671.4964877920331,edge,Mexico,Japan,37
258,4,,,,Americas,175.92909398260235,670.0999162174028,edge,Mexico,Japan,38
259,4,,,,Americas,173.52740083482502,668.7423925301151,edge,Mexico,Japan,39
260,4,,,,Americas,171.2250447430883,667.4319053840713,edge,Mexico,Japan,40
261,4,,,,Americas,169.03349706260462,666.1767014264673,edge,Mexico,Japan,41
262,4,,,,Americas,166.9648146605581,664.9852852977926,edge,Mexico,Japan,42
263,4,,,,Americas,165.03163991610467,663.8664196318311,edge,Mexico,Japan,43
264,4,,,,Americas,163.24720072037178,662.829125055661,edge,Mexico,Japan,44
265,4,,,,Americas,161.62531047645876,661.8826801896545,edge,Mexico,Japan,45
266,4,,,,Americas,160.18036809943658,661.0366216474775,edge,Mexico,Japan,46
267,4,,,,Americas,158.92735801634785,660.3007440360908,edge,Mexico,Japan,47
268,4,,,,Americas,157.88185016620696,659.6850999557487,edge,Mexico,Japan,48
269,4,,,,Americas,157.06,659.2,edge,Mexico,Japan,49
270,5,,,,Americas,250.59,837.53,edge,USA,Canada,0
271,5,,,,Americas,254.16488256229482,840.6334962022104,edge,USA,Canada,1
272,5,,,,Americas,257.62657062229897,843.585351045075,edge,USA,Canada,2
273,5,,,,Americas,260.98553897003563,846.3911962719963,edge,USA,Canada,3
274,5,,,,Americas,264.2517398727207,849.0565421859316,edge,USA,Canada,4
275,5,,,,Americas,267.4346030747636,851.5867776493933,edge,USA,Canada,5
276,5,,,,Americas,270.54303579776644,853.9871700844487,edge,USA,Canada,6
277,5,,,,Americas,273.5854227405248,856.2628654727198,edge,USA,Canada,7
278,5,,,,Americas,276.5696260790268,858.4188883553832,edge,USA,Canada,8
279,5,,,,Americas,279.5029854664541,860.46014183317,edge,USA,Canada,9
280,5,,,,Americas,282.392318033181,862.3914075663669,edge,USA,Canada,10
281,5,,,,Americas,285.2439183867751,864.217345774815,edge,USA,Canada,11
282,5,,,,Americas,288.06355861199717,865.94249523791,edge,USA,Canada,12
283,5,,,,Americas,290.85648827080064,867.5712732946027,edge,USA,Canada,13
284,5,,,,Americas,293.62743440233237,869.1079758433985,edge,USA,Canada,14
285,5,,,,Americas,296.380601522932,870.5567773423578,edge,USA,Canada,15
286,5,,,,Americas,299.1196716261325,871.9217308090949,edge,USA,Canada,16
287,5,,,,Americas,301.8478041826596,873.2067678207801,edge,USA,Canada,17
288,5,,,,Americas,304.5676361404322,874.4156985141377,edge,USA,Canada,18
289,5,,,,Americas,307.28128192456256,875.5522115854477,edge,USA,Canada,19
290,5,,,,Americas,309.99033343735533,876.6198742905434,edge,USA,Canada,20
291,5,,,,Americas,312.69586005830894,877.6221324448144,edge,USA,Canada,21
292,5,,,,Americas,315.3984086441145,878.5623104232046,edge,USA,Canada,22
293,5,,,,Americas,318.0980035286561,879.4436111602117,edge,USA,Canada,23
294,5,,,,Americas,320.79414652301097,880.2691161498897,edge,USA,Canada,24
295,5,,,,Americas,323.4858169154495,881.0417854458464,edge,USA,Canada,25
296,5,,,,Americas,326.171471471435,881.7644576612444,edge,USA,Canada,26
297,5,,,,Americas,328.849044433624,882.439849968802,edge,USA,Canada,27
298,5,,,,Americas,331.5159475218659,883.0705581007913,edge,USA,Canada,28
299,5,,,,Americas,334.1690699332033,883.6590563490398,edge,USA,Canada,29
300,5,,,,Americas,336.80477834187167,884.2076975649289,edge,USA,Canada,30
301,5,,,,Americas,339.4189168992998,884.7187131593961,edge,USA,Canada,31
302,5,,,,Americas,342.00680723410915,885.1942131029327,edge,USA,Canada,32
303,5,,,,Americas,344.5632484521148,885.6361859255853,edge,USA,Canada,33
304,5,,,,Americas,347.0825171363244,886.0464987169548,edge,USA,Canada,34
